,StartingLongitude,StartingLatitude,EndingLongitude,EndingLatitude,StartingtimeStampInMS,EndtimeStampInMS,ActivityType,Distance,User
96,212361307,523359572,212487339,523347457,1641390847447,1641391221139,IN_PASSENGER_VEHICLE,1119,User1
97,212487339,523347451,212538823,523543653,1641391583366,1641392912581,IN_PASSENGER_VEHICLE,3758,User1
98,212535610,523547685,212487243,523347434,1641394840341,1641396196100,IN_PASSENGER_VEHICLE,2450,User1
99,212486691,523347961,212420518,523418219,1641401926995,1641406360851,IN_PASSENGER_VEHICLE,1115,User1
100,212373900,523384059,212487337,523347453,1641413615935,1641414239998,IN_PASSENGER_VEHICLE,871,User1
101,212487338,523347448,202920266,494594195,1641440999559,1641467181785,IN_PASSENGER_VEHICLE,383592,User1
102,202924996,494591865,203150849,494595510,1641472574233,1641473989000,IN_PASSENGER_VEHICLE,1661,User1
103,203170214,494578869,203218888,494594630,1641480005277,1641480360000,SKIING,621,User1
104,203213292,494591623,200986696,493900306,1641485854008,1641489711343,IN_PASSENGER_VEHICLE,22566,User1
105,200984954,493897436,201154754,493652572,1641491381719,1641493948980,IN_PASSENGER_VEHICLE,3692,User1
106,201154754,493652572,200980601,493901595,1641495411137,1641497707373,SKIING,3042,User1
107,200985890,493894979,202920345,494593186,1641498068379,1641500637207,IN_PASSENGER_VEHICLE,16058,User1
108,202926087,494592317,203144438,492858986,1641545980734,1641556498000,SKIING,29790,User1
109,203144546,492858556,202926090,494592289,1641556779512,1641580675384,IN_PASSENGER_VEHICLE,26957,User1
110,202914725,494596332,203150123,494602007,1641630319314,1641631216000,IN_PASSENGER_VEHICLE,3361,User1
111,203150393,494593358,202919715,494593277,1641631800360,1641637328616,SKIING,4730,User1
112,202926241,494592297,201027001,493885444,1641639322489,1641642412000,IN_PASSENGER_VEHICLE,16961,User1
113,201019289,493880788,200955171,493249684,1641643150664,1641644653084,IN_PASSENGER_VEHICLE,7397,User1
114,200944445,493250334,201320682,493670868,1641652171152,1641653346256,IN_PASSENGER_VEHICLE,5934,User1
115,201321323,493669988,202926283,494592292,1641662595490,1641665005553,IN_PASSENGER_VEHICLE,17421,User1
116,202916272,494596154,200988034,493895807,1641711696446,1641713905000,IN_PASSENGER_VEHICLE,19989,User1
117,200982046,493888015,200993273,493898662,1641715389878,1641725102000,SKIING,9928,User1
118,200987104,493888139,200309342,494783868,1641729278271,1641730633498,IN_PASSENGER_VEHICLE,11716,User1
119,200412127,494798576,202536985,505969894,1641735447851,1641749576939,IN_PASSENGER_VEHICLE,135244,User1
120,202535564,505970504,212486779,523348427,1641750677083,1641760389334,IN_PASSENGER_VEHICLE,208327,User1
121,212487205,523347361,212144210,523359076,1641799663504,1641802363871,IN_PASSENGER_VEHICLE,2632,User1
122,212160400,523371300,210419336,522480209,1641802567000,1641804070000,IN_TRAIN,15463,User1
123,210078965,522218816,210160627,522166574,1641818727661,1641819789042,IN_SUBWAY,927,User1
124,210137483,522189533,210081543,522215551,1641827429435,1641827802104,WALKING,503,User1
125,210070738,522220603,210352798,522539709,1641832770951,1641834140000,IN_SUBWAY,4901,User1
126,210356006,522542114,212486551,523355652,1641834311269,1641836166000,IN_TRAIN,18589,User1
127,212487381,523347464,212365330,523359418,1641909219999,1641909430619,IN_PASSENGER_VEHICLE,869,User1
128,212360582,523359590,212487216,523347364,1641914582473,1641915065752,IN_PASSENGER_VEHICLE,882,User1
129,212487236,523347375,212539004,523545990,1641925711998,1641926444000,IN_PASSENGER_VEHICLE,2362,User1
130,212538886,523543702,212487228,523347370,1641927122145,1641930799580,IN_PASSENGER_VEHICLE,2211,User1
131,212487005,523347622,212409996,523459547,1641995697308,1641996042480,IN_PASSENGER_VEHICLE,1350,User1
132,212409996,523459547,210064645,522219753,1641996559941,1641999226801,IN_TRAIN,22081,User1
133,210076838,522226434,210129545,522488034,1642010401374,1642011988107,IN_TRAIN,3930,User1
134,210130726,522492252,212426372,523479174,1642013829321,1642015936970,IN_TRAIN,19081,User1
135,212426372,523479174,212486486,523352789,1642015936970,1642017153929,WALKING,1777,User1
136,212487235,523347372,212487236,523347381,1642021888609,1642024068763,IN_PASSENGER_VEHICLE,4087,User1
137,212487226,523347366,212323131,523341373,1642079723475,1642081565527,IN_PASSENGER_VEHICLE,1206,User1
138,212360681,523359603,212486706,523347298,1642084966110,1642085631000,IN_PASSENGER_VEHICLE,952,User1
139,212487188,523347359,212527552,523548440,1642087767274,1642088400426,IN_PASSENGER_VEHICLE,3766,User1
140,212527931,523548655,212550417,523503679,1642091508324,1642092639153,IN_PASSENGER_VEHICLE,4182,User1
141,212535020,523501485,212402688,523380213,1642096519000,1642097054013,IN_PASSENGER_VEHICLE,2877,User1
142,212408739,523380670,212487233,523347370,1642100301315,1642100793013,IN_PASSENGER_VEHICLE,649,User1
143,212487169,523347495,210058073,522286524,1642147278244,1642150510671,IN_TRAIN,22107,User1
144,210058073,522286524,210074426,522215444,1642150510671,1642151113754,WALKING,832,User1
145,210079112,522222416,210160677,522166330,1642164016559,1642164865790,WALKING,915,User1
146,210165830,522174097,210147767,522177798,1642170910137,1642171030170,WALKING,129,User1
147,210152866,522178989,210081524,522215174,1642172736197,1642173216834,WALKING,656,User1
148,210070434,522221832,210070364,522292465,1642176931436,1642177491638,WALKING,842,User1
149,210084260,522295616,212140330,523361660,1642177952156,1642180106597,IN_TRAIN,18363,User1
150,212140330,523361660,212479161,523385160,1642180106597,1642180914026,IN_PASSENGER_VEHICLE,3060,User1
151,212487231,523347369,212532673,523549039,1642249614403,1642250909190,IN_PASSENGER_VEHICLE,3576,User1
152,212538672,523542907,212360621,523359615,1642253902646,1642254994816,IN_PASSENGER_VEHICLE,2679,User1
153,211595419,522008308,211706298,521999148,1641004735000,1641005352078,WALKING,1228,User3
154,211704156,522019741,210020152,522280295,1641005990000,1641008417000,IN_BUS,16417,User3
155,210036953,522291103,208969246,522581346,1641008871435,1641010845489,IN_BUS,9758,User3
156,209004943,522404618,209152311,522400814,1641118725577,1641119578686,WALKING,1358,User3
157,209110481,522392685,208993501,522405083,1641122867200,1641123589761,WALKING,873,User3
158,209000481,522404731,209008230,522406730,1641138338643,1641140392692,WALKING,2882,User3
159,209000695,522405309,208986574,522361549,1641210946787,1641211307960,WALKING,509,User3
160,208980901,522363963,209000501,522404289,1641212050056,1641212544760,WALKING,503,User3
161,209008037,522407845,209148373,522290588,1641289248375,1641290184824,IN_BUS,2742,User3
162,209144531,522289574,209007452,522407382,1641291401095,1641292272079,IN_BUS,2622,User3
163,209007693,522408901,208970783,522288264,1641387612000,1641388683699,WALKING,1846,User3
164,208973342,522282122,209007593,522409396,1641389616017,1641390406608,IN_BUS,1610,User3
165,208994057,522403827,218867950,513242403,1641460335000,1641468192000,IN_PASSENGER_VEHICLE,139217,User3
166,218887305,513239665,218909428,513233572,1641479245557,1641479365550,WALKING,167,User3
