,PlaceId,Longitude,Latitude,StartTimeStampInMS,EndTimeStampInMS,Name,User
73,ChIJZzu_fBt-IkcRsFgl2-j8O-s,218873060,513239476,1640523900000,1640528700000,Cztery Pory Roku Janowiec Kwatery Noclegi Wolne Pokoje Wypoczynek,User3
74,ChIJoebXowR-IkcRjyXLsXTxjgA,218915835,513229704,1640529000000,1640531700000,Kościół Rzymskokatolicki pw. Św. Stanisława Biskupa i Męczennika oraz Św. Małgorzaty,User3
75,ChIJZzu_fBt-IkcRsFgl2-j8O-s,218873061,513239475,1640532000000,1640537706000,Cztery Pory Roku Janowiec Kwatery Noclegi Wolne Pokoje Wypoczynek,User3
76,ChIJY1JLMRt-IkcR7S09cJWGcsQ,218905880,513245033,1640537953303,1640545126025,Lubelska 13,User3
77,ChIJZzu_fBt-IkcRsFgl2-j8O-s,218873060,513239476,1640545487833,1640598380776,Cztery Pory Roku Janowiec Kwatery Noclegi Wolne Pokoje Wypoczynek,User3
78,ChIJOQIKz659IkcRablllckyR04,219794260,513364250,1640600400000,1640613300000,The ski slope Kazimierz Dolny,User3
79,ChIJZzu_fBt-IkcRsFgl2-j8O-s,218873060,513239476,1640615607909,1640790411000,Cztery Pory Roku Janowiec Kwatery Noclegi Wolne Pokoje Wypoczynek,User3
80,ChIJcT_bmObKHkcR3hi_UZEf5Ow,209006590,522410224,1640798886000,1640800209535,Górczewska 226d,User3
81,ChIJBZgtSibLHkcRmRg8IHAkM18,209044110,522256734,1640800823249,1640803753090,Okrętowa 68,User3
82,ChIJcT_bmObKHkcR3hi_UZEf5Ow,209006590,522410224,1640804262957,1640940749084,Górczewska 226d,User3
83,ChIJt_JUdCPLHkcR2HvO1tNyJSE,209155005,522286902,1640941512948,1640943310320,Hala Wola 06,User3
84,ChIJcT_bmObKHkcR3hi_UZEf5Ow,209006590,522410224,1640944047250,1640949666538,Górczewska 226d,User3
85,ChIJhyw1zOXKHkcRXgH5PZ801rM,208996287,522425158,1640950177248,1640950876754,Piekarnia Cukiernia Grzybki sklep firmowy,User3
86,ChIJcT_bmObKHkcR3hi_UZEf5Ow,209006590,522410224,1640950981067,1640975136000,Górczewska 226d,User3
87,ChIJafthf_3SHkcRZbvHedzJmtY,211590034,522014848,1640979332763,1641004735000,Zwoleńska 104C,User3
88,ChIJNfj9QBjQHkcRxIyakirXNDU,211962500,523158700,1641003124000,1641003608000,Kobyłka Turów 01,User1
89,ChIJqc2QjWLPHkcRDImodPOfEeo,211617536,523040405,1641003937000,1641005029290,Nova Sushi,User1
90,ChIJHUm6LpvaHkcRbIs_-aEXOL4,212483298,523347168,1641006848618,1641045498127,Szara 10,User1
91,ChIJn4AA55jaHkcR3BYqNOm9ezk,212361599,523361850,1641046029259,1641049658805,Partyzantów 5,User1
92,ChIJHUm6LpvaHkcRbIs_-aEXOL4,212483298,523347168,1641050406328,1641060277582,Szara 10,User1
93,ChIJO8G_JJjaHkcRqHU15pImZjY,212417700,523395317,1641060411619,1641061209581,Lidl,User1
94,ChIJHUm6LpvaHkcRbIs_-aEXOL4,212483298,523347168,1641062391970,1641125277000,Szara 10,User1
95,ChIJHUm6LpvaHkcRbIs_-aEXOL4,212483298,523347168,1641145125449,1641213970965,Szara 10,User1
96,ChIJn4AA55jaHkcR3BYqNOm9ezk,212361599,523361850,1641215214128,1641215643244,Partyzantów 5,User1
97,ChIJHUm6LpvaHkcRbIs_-aEXOL4,212483298,523347168,1641216273650,1641303513027,Szara 10,User1
98,ChIJn4AA55jaHkcR3BYqNOm9ezk,212361599,523361850,1641307335979,1641308631799,Partyzantów 5,User1
99,ChIJHUm6LpvaHkcRbIs_-aEXOL4,212483298,523347168,1641309848769,1641320586917,Szara 10,User1
100,ChIJHUm6LpvaHkcRbIs_-aEXOL4,212483298,523347168,1641334760195,1641386926758,Szara 10,User1
101,ChIJn4AA55jaHkcR3BYqNOm9ezk,212361599,523361850,1641387047221,1641390847447,Partyzantów 5,User1
102,ChIJHUm6LpvaHkcRbIs_-aEXOL4,212483298,523347168,1641391221139,1641391583366,Szara 10,User1
103,ChIJNZIsaunaHkcRf5KWFih0lIE,212538722,523543440,1641392912581,1641394840341,ATHLETE Wołomin - Fitness & Boxing,User1
104,ChIJHUm6LpvaHkcRbIs_-aEXOL4,212483298,523347168,1641396196100,1641401926995,Szara 10,User1
105,ChIJ4YxiAZfaHkcRNc2ONr74i7o,212419340,523416779,1641406360851,1641413615935,Pizza House Wołomin,User1
106,ChIJHUm6LpvaHkcRbIs_-aEXOL4,212483298,523347168,1641414239998,1641440999559,Szara 10,User1
107,ChIJTak94Kz4FUcRWs1v7p47iyg,202929670,494587935,1641467181785,1641472574233,Całoroczne domki w Mizernej,User1
108,ChIJB5b8Bv8BPkcRmQEFqHdxALo,203156278,494597635,1641473989000,1641480005277,Ośrodek Narciarski Czorsztyn SKI,User1
109,ChIJb9_mvf4BPkcRBAazXf1J0qI,203215696,494597709,1641480360000,1641485854008,Karczma Koliba,User1
110,ChIJN07S-7_wFUcReUxdTqO_rKU,200991835,493895524,1641489711343,1641491381719,Parking Bezpłatny Białka Tatrzańska,User1
111,ChIJi2S10dTwFUcRSgOn69ttxuM,201164500,493653844,1641493948980,1641495411137,Petrol Station ORLEN,User1
112,ChIJeZfybMDwFUcR_YMP5hSh_BU,200987613,493870866,1641497707373,1641498068379,Terma Bania,User1
113,ChIJKxPMurL4FUcRsif-0NvcwcA,202926861,494591282,1641500637207,1641545980734,38,User1
114,ChIJ7bDCvPwbPkcR0yVkAaYnZO4,203243520,492893263,1641556498000,1641556779000,Bachledka Ski and Sun,User1
115,ChIJKxPMurL4FUcRsif-0NvcwcA,202926861,494591282,1641580675384,1641630319314,38,User1
116,ChIJB5b8Bv8BPkcRmQEFqHdxALo,203156278,494597635,1641631216000,1641631800360,Ośrodek Narciarski Czorsztyn SKI,User1
117,ChIJTak94Kz4FUcRWs1v7p47iyg,202929670,494587935,1641637328616,1641639322489,Całoroczne domki w Mizernej,User1
118,ChIJy7H0kb7wFUcR73W_VdbC_N0,201050703,493891809,1641642412000,1641643150000,Białka Tatrzańska,User1
119,ChIJI95vhwL0FUcRd17p6BkLCIM,200946654,493252967,1641644653084,1641652171152,Termy BUKOVINA w Bukowinie Tatrzańskiej,User1
120,ChIJ12l-bSb3FUcR6lsHbD0aVp4,201318840,493669150,1641653346256,1641662595490,Koziniec-Ski Sp. z o.o. Czarna Góra - Stacja Narciarska,User1
121,ChIJKxPMurL4FUcRsif-0NvcwcA,202926861,494591282,1641665005553,1641711696446,38,User1
122,ChIJFw910L_wFUcRRc2l_8-vUco,201003617,493909665,1641713905000,1641715389000,Białka Tatrzańska Kotelnica,User1
123,ChIJo9-LoerwFUcRFr_HdOwf5nI,200984941,493890301,1641725102000,1641729278000,Karcma Bania,User1
124,ChIJ5ZWx2ujkFUcRDigexVVcwA8,200303025,494780866,1641730633498,1641735447851,Church of the Sacred Heart of Jesus,User1
125,ChIJbS_CA0SfF0cR4RH-aqbmNBw,202534976,505968471,1641749576939,1641750677083,bp,User1
126,ChIJHUm6LpvaHkcRbIs_-aEXOL4,212483298,523347168,1641760389334,1641799663504,Szara 10,User1
127,ChIJc1ZEZKjaHkcRZE_RzuvkXAg,212156200,523369600,1641802363871,1641802567000,Kobyłka,User1
128,ChIJ92KGIE_MHkcRUn4QrkfNXuA,210430609,522473550,1641804070000,1641818727000,Metro Stadion Narodowy 01,User1
129,ChIJhzdbxufMHkcRJ1ExJBt0OpE,210162081,522167264,1641819789042,1641827429435,Studium Wychowania Fizycznego i Sportu - Politechnika Warszawska,User1
130,ChIJF8u2SOnMHkcR7TrJJ2_WP80,210080857,522212012,1641827802104,1641832770951,Warsaw University of Technology,User1
131,ChIJj2vEdn3LHkcRaAbbv2CHhcE,210347731,522551697,1641834140000,1641834311269,Dw. Wileński 01,User1
132,ChIJHUm6LpvaHkcRbIs_-aEXOL4,212483298,523347168,1641836166000,1641909219999,Szara 10,User1
133,ChIJVTVY6JbaHkcRDueMBfJXwmw,212438803,523423564,1641909430619,1641914582473,Kebab Grand,User1
134,ChIJHUm6LpvaHkcRbIs_-aEXOL4,212483298,523347168,1641915065752,1641925711998,Szara 10,User1
135,ChIJNZIsaunaHkcRf5KWFih0lIE,212538722,523543440,1641926444000,1641927122145,ATHLETE Wołomin - Fitness & Boxing,User1
136,ChIJHUm6LpvaHkcRbIs_-aEXOL4,212483298,523347168,1641930799580,1641995697308,Szara 10,User1
137,ChIJuwLbP77aHkcR6s28DDfrP0Q,212390000,523466700,1641996042480,1641996559941,Wołomin PKP,User1
138,ChIJF8u2SOnMHkcR7TrJJ2_WP80,210080857,522212012,1641999226801,1642010401374,Warsaw University of Technology,User1
139,ChIJ27Vh22_NHkcRcOTtl-cpWAU,210130229,522489235,1642011988107,1642013829321,Jesuit church,User1
140,ChIJHUm6LpvaHkcRbIs_-aEXOL4,212483298,523347168,1642017153929,1642021888609,Szara 10,User1
141,ChIJHUm6LpvaHkcRbIs_-aEXOL4,212483298,523347168,1642024068763,1642079723475,Szara 10,User1
142,ChIJn4AA55jaHkcR3BYqNOm9ezk,212361599,523361850,1642081565527,1642084966110,Partyzantów 5,User1
143,ChIJHUm6LpvaHkcRbIs_-aEXOL4,212483298,523347168,1642085631000,1642087767274,Szara 10,User1
144,ChIJNZIsaunaHkcRf5KWFih0lIE,212538722,523543440,1642088400426,1642091508324,ATHLETE Wołomin - Fitness & Boxing,User1
145,ChIJP1ZjiuzaHkcR9XheZgsJqSg,212548439,523505638,1642092639153,1642096519000,Local clinic ZPZOZ,User1
146,ChIJMchhxpnaHkcRNaz0xZfRGRA,212400819,523383482,1642097054013,1642100301315,Church,User1
147,ChIJHUm6LpvaHkcRbIs_-aEXOL4,212483298,523347168,1642100793013,1642147278244,Szara 10,User1
148,ChIJF8u2SOnMHkcR7TrJJ2_WP80,210080857,522212012,1642151113754,1642164016559,Warsaw University of Technology,User1
149,ChIJhzdbxufMHkcRJ1ExJBt0OpE,210162081,522167264,1642164865790,1642170910137,Studium Wychowania Fizycznego i Sportu - Politechnika Warszawska,User1
150,ChIJhQvtmejMHkcRySgu8D2U654,210150521,522186417,1642171030170,1642172736197,Żabka,User1
151,ChIJF8u2SOnMHkcR7TrJJ2_WP80,210080857,522212012,1642173216834,1642176931436,Warsaw University of Technology,User1
152,ChIJ249xMY3MHkcRkGgnFhTHz4g,210076241,522294106,1642177491638,1642177952156,Warszawa Śródmieście,User1
153,ChIJHUm6LpvaHkcRbIs_-aEXOL4,212483298,523347168,1642180914026,1642249614403,Szara 10,User1
154,ChIJNZIsaunaHkcRf5KWFih0lIE,212538722,523543440,1642250909190,1642253902646,ATHLETE Wołomin - Fitness & Boxing,User1
155,ChIJZa5CNgTTHkcRJ3DiDfWp7dQ,211716500,522007800,1641005352078,1641005990000,Odeska 02,User3
156,ChIJWTUjZY3MHkcR2U7HZ_LJC-s,210032200,522288600,1641008417000,1641008871435,Warsaw Central,User3
157,ChIJcT_bmObKHkcR3hi_UZEf5Ow,209006590,522410224,1641010845489,1641118725577,Górczewska 226d,User3
158,ChIJAa2-QRzLHkcRioXdGz4frMw,209174400,522401418,1641119578686,1641122867200,Roman Catholic Parish of St. Luke the Evangelist,User3
159,ChIJcT_bmObKHkcR3hi_UZEf5Ow,209006590,522410224,1641123589761,1641138338643,Górczewska 226d,User3
160,ChIJcT_bmObKHkcR3hi_UZEf5Ow,209006590,522410224,1641140392692,1641210946787,Górczewska 226d,User3
161,ChIJxXrF-N3KHkcRyANe9KrpdXA,208988209,522361336,1641211307960,1641212050056,Biedronka,User3
162,ChIJcT_bmObKHkcR3hi_UZEf5Ow,209006590,522410224,1641212544760,1641289248375,Górczewska 226d,User3
163,ChIJrappgyPLHkcRJ3Jfz6727aE,209144364,522286051,1641290184824,1641291401095,Hala Wola Sp. z o.o.,User3
164,ChIJcT_bmObKHkcR3hi_UZEf5Ow,209006590,522410224,1641292272079,1641387612000,Górczewska 226d,User3
165,ChIJZ1q3EtnKHkcRGEoWnHoPDhY,208958333,522290419,1641388683699,1641389616017,Pizza Hut Warszawa Lazurowa,User3
166,ChIJcT_bmObKHkcR3hi_UZEf5Ow,209006590,522410224,1641390406608,1641460335000,Górczewska 226d,User3
167,ChIJZzu_fBt-IkcRsFgl2-j8O-s,218873060,513239476,1641468192000,1641479245557,Cztery Pory Roku Janowiec Kwatery Noclegi Wolne Pokoje Wypoczynek,User3
168,ChIJoebXowR-IkcRjyXLsXTxjgA,218915835,513229705,1641479365550,1641482193481,Kościół Rzymskokatolicki pw. Św. Stanisława Biskupa i Męczennika oraz Św. Małgorzaty,User3
169,ChIJZzu_fBt-IkcRsFgl2-j8O-s,218873060,513239476,1641483280973,1641556045416,Cztery Pory Roku Janowiec Kwatery Noclegi Wolne Pokoje Wypoczynek,User3
170,ChIJwage4Ep_IkcRTeU1StCsAzo,219004901,513227482,1641556786144,1641557390012,Cmentarz żydowski w Janowcu,User3
171,ChIJZzu_fBt-IkcRsFgl2-j8O-s,218873060,513239476,1641559900173,1641638218971,Cztery Pory Roku Janowiec Kwatery Noclegi Wolne Pokoje Wypoczynek,User3
172,ChIJY1JLMRt-IkcR7S09cJWGcsQ,218905880,513245033,1641638218971,1641644831396,Lubelska 13,User3
173,ChIJvSN0xaN_IkcR2Xw4yg73rqw,218787744,513264123,1641645565681,1641646053855,Dino,User3
174,ChIJZzu_fBt-IkcRsFgl2-j8O-s,218873060,513239476,1641646416797,1641718276000,Cztery Pory Roku Janowiec Kwatery Noclegi Wolne Pokoje Wypoczynek,User3
175,ChIJcT_bmObKHkcR3hi_UZEf5Ow,209006590,522410224,1641725582000,1641747391178,Górczewska 226d,User3
176,ChIJcT_bmObKHkcR3hi_UZEf5Ow,209006590,522410224,1641749317966,1641796758000,Górczewska 226d,User3
177,ChIJF8u2SOnMHkcR7TrJJ2_WP80,210080857,522212012,1641799140893,1641818728067,Warsaw University of Technology,User3
178,ChIJhzdbxufMHkcRJ1ExJBt0OpE,210162081,522167264,1641819570683,1641825282006,Studium Wychowania Fizycznego i Sportu - Politechnika Warszawska,User3
179,ChIJ7yDzmz7NHkcRH0i-NRk-9A4,210150579,522185799,1641825402554,1641827342191,Polny Bar Mleczny,User3
180,ChIJAb4UZOzMHkcR7F-PEskrzL4,210054532,522223470,1641827830998,1641832825229,Koszykowa 75,User3
181,ChIJcT_bmObKHkcR3hi_UZEf5Ow,209006590,522410224,1641835208334,1641910909764,Górczewska 226d,User3
182,ChIJhZ-A_-bKHkcRFjjkTAlQYBo,208975700,522394100,1641911030211,1641911516107,Osiedle Górczewska 03,User3
183,ChIJF8u2SOnMHkcR7TrJJ2_WP80,210080857,522212012,1641913198468,1641919913503,Warsaw University of Technology,User3
184,ChIJVfbigRLLHkcR5DXo0LxD_N8,209415800,522394200,1641921406464,1641921767422,Metro Księcia Janusza 02,User3
185,ChIJcT_bmObKHkcR3hi_UZEf5Ow,209006590,522410224,1641922739407,1641984485006,Górczewska 226d,User3
186,ChIJg1sIUfvKHkcRM4E73SxXJmw,209060218,522456817,1641985109460,1641989765105,Fitness Klub ZDROFIT Bemowo - Dywizjonu 303,User3
187,ChIJcT_bmObKHkcR3hi_UZEf5Ow,209006590,522410224,1641990632037,1641997791231,Górczewska 226d,User3
188,ChIJU0iHrefKHkcRRrCsOYHJVdI,208962400,522389300,1641997911595,1641998206727,Osiedle Górczewska 01,User3
189,ChIJAb4UZOzMHkcR7F-PEskrzL4,210054532,522223470,1642000188691,1642008451176,Koszykowa 75,User3
190,ChIJg2deYg3LHkcRWqILew_ozcA,209425200,522392900,1642009865849,1642010349155,Księcia Janusza,User3
191,ChIJcT_bmObKHkcR3hi_UZEf5Ow,209006590,522410224,1642011208136,1642073332156,Górczewska 226d,User3
192,ChIJxXrF-N3KHkcRyANe9KrpdXA,208988209,522361336,1642073730990,1642074826326,Biedronka,User3
193,ChIJcT_bmObKHkcR3hi_UZEf5Ow,209006590,522410224,1642075188341,1642142464277,Górczewska 226d,User3
194,ChIJhZ-A_-bKHkcRFjjkTAlQYBo,208975700,522394100,1642142667405,1642143075047,Osiedle Górczewska 03,User3
195,ChIJF8u2SOnMHkcR7TrJJ2_WP80,210080857,522212012,1642144886157,1642157769824,Warsaw University of Technology,User3
196,ChIJWSlOqe7MHkcRaumVN8UoL0M,210101600,522215100,1642157769824,1642158264148,Żabka,User3
197,ChIJAb4UZOzMHkcR7F-PEskrzL4,210054532,522223470,1642158384617,1642164073615,Koszykowa 75,User3
198,ChIJhzdbxufMHkcRJ1ExJBt0OpE,210162081,522167264,1642164803212,1642170941932,Studium Wychowania Fizycznego i Sportu - Politechnika Warszawska,User3
199,ChIJ7yDzmz7NHkcRH0i-NRk-9A4,210150579,522185799,1642171181971,1642172790720,Polny Bar Mleczny,User3
200,ChIJAb4UZOzMHkcR7F-PEskrzL4,210054532,522223470,1642173257324,1642177166748,Koszykowa 75,User3
201,ChIJcT_bmObKHkcR3hi_UZEf5Ow,209006590,522410224,1642179657616,1642239807015,Górczewska 226d,User3
202,ChIJrappgyPLHkcRJ3Jfz6727aE,209144364,522286051,1642241192696,1642243966323,Hala Wola Sp. z o.o.,User3
203,ChIJcT_bmObKHkcR3hi_UZEf5Ow,209006590,522410224,1642244893398,1642252874000,Górczewska 226d,User3
204,ChIJez4Delj-H0cRX8UlNdus51A,232390056,531431844,1641003196218,1641039689471,Sosenkowa 1,User2
205,ChIJVbNlEoH-H0cR-LaOndg2BJU,231973330,531550060,1641040443540,1641115575025,Żyzna 21,User2
206,ChIJT5we62z8H0cRDqmH-xqkb38,231390849,531408069,1641116443616,1641124976076,Antoniukowska 12A,User2
207,ChIJVbNlEoH-H0cR-LaOndg2BJU,231973330,531550060,1641125593664,1641132567332,Żyzna 21,User2
208,ChIJWx2tG-nLHkcRZ4495dW_Zig,209782606,522737412,1641139434697,1641408947194,Bieniewicka 4,User2
209,ChIJQ0Ysw-jLHkcR913z1brHCpI,209803373,522747343,1641409206928,1641410054923,Pan Sushi,User2
210,ChIJWx2tG-nLHkcRZ4495dW_Zig,209782606,522737412,1641410176916,1641461895890,Bieniewicka 4,User2
211,ChIJWTUjZY3MHkcR2U7HZ_LJC-s,210032200,522288600,1641463518883,1641465613771,Warsaw Central,User2
212,ChIJwUY61wz8H0cRrzQm0WWPWJ0,231358237,531343350,1641475843000,1641476075000,Bialystok,User2
