,Longitude,Latitude,TimeStampInMS,User
235,212486953,523347740,1640786616990.3635,User1
236,212487359,523347535,1640775372716,User1
237,212487211,523347751,1640787152432,User1
238,212487087,523346672,1640801330750.3333,User1
239,212495555,523364334,1640802194251.0,User1
240,212636337,523379592,1640803057751.6667,User1
241,212484645,523346555,1640800899000,User1
242,212449615,523393240,1640803489502,User1
243,212486971,523347663,1640871318364.8333,User1
244,212455862,523363044,1640872502844.5,User1
245,212420158,523361916,1640873687324.1667,User1
246,212486889,523347646,1640870726125,User1
247,212487230,523347515,1640874279564,User1
248,212383690,523469391,1640876813000,User1
249,212486877,523348503,1640876400508.875,User1
250,212346649,523432006,1640876537220.625,User1
251,212380523,523469085,1640876673932.375,User1
252,212359294,523459663,1640876810644.125,User1
253,212487229,523348500,1640876332153,User1
254,212361833,523460709,1640876879000,User1
255,212361833,523460709,1640876879000,User1
256,211122079,522915577,1640877663632,User1
257,212361833,523460709,1640876879000,User1
258,210339736,522548939,1640878486732,User1
259,210221134,522626168,1640879180000,User1
260,210218514,522632071,1640879210000,User1
261,210223400,522637666,1640879242000,User1
262,210169526,522711673,1640879441422,User1
263,210336485,522545741,1640878954000,User1
264,210169382,522727338,1640879566000,User1
265,210167893,522701173,1640889338248,User1
266,210205826,522670810,1640889458263,User1
267,210285733,522572555,1640889709467,User1
268,210167893,522701173,1640889338248,User1
269,210334759,522556279,1640889829836,User1
270,210343467,522558514,1640890813388,User1
271,210343467,522558514,1640890813388,User1
272,210182087,522361928,1640891054000,User1
273,210185089,522352371,1640893030734.0,User1
274,210195312,522331886,1640893130884.0,User1
275,210196189,522330474,1640893231034.0,User1
276,210186698,522352603,1640892980659,User1
277,210195568,522330326,1640893281109,User1
278,210185928,522327995,1640896686208.0,User1
279,210188846,522328529,1640896766512.0,User1
280,210191783,522329025,1640896846816.0,User1
281,210186538,522326705,1640896646056,User1
282,210192211,522328155,1640896886968,User1
283,210174627,522368547,1640906604818,User1
284,210192886,522336337,1640906362712,User1
285,210376996,522550635,1640907432585,User1
286,210382141,522558884,1640908295873,User1
287,211508652,523080446,1640908910272,User1
288,210382141,522558884,1640908295873,User1
289,212319502,523432586,1640909391000,User1
290,212466087,523463707,1640909823200,User1
291,212426891,523463706,1640909735041.0,User1
292,212465591,523464050,1640909920955.0,User1
293,212465610,523463706,1640910106869.0,User1
294,212481479,523378105,1640910292783.0,User1
295,212486553,523351173,1640910478697.0,User1
296,212426926,523462869,1640909642084,User1
297,212487206,523351209,1640910571654,User1
298,212486991,523347511,1640956929045.6667,User1
299,212455863,523363037,1640957081267.0,User1
300,212347240,523359642,1640957233488.3333,User1
301,212487351,523347524,1640956852935,User1
302,212328167,523361317,1640957309599,User1
303,212366142,523358192,1640959705460.3333,User1
304,212455863,523363037,1640959786317.0,User1
305,212486991,523347511,1640959867173.6667,User1
306,212368807,523358281,1640959665032,User1
307,212487347,523347521,1640959907602,User1
308,212486991,523347549,1640963384129.1667,User1
309,212348728,523390121,1640963486519.5,User1
310,212290973,523380966,1640963588909.8333,User1
311,212487357,523347531,1640963332934,User1
312,212289323,523382611,1640963640105,User1
313,212290763,523380889,1640963961262.3333,User1
314,212347507,523388252,1640964086179.0,User1
315,212486991,523347549,1640964211095.6667,User1
316,212288750,523382861,1640963898804,User1
317,212487359,523347531,1640964273554,User1
318,212439861,523362122,1640975866240,User1
319,212360973,523359489,1640976107824,User1
320,212486991,523347549,1640975836063.0715,User1
321,212455863,523363037,1640976019171.2144,User1
322,212439823,523362541,1640976202279.3572,User1
323,212426853,523346900,1640976385387.5,User1
324,212366027,523359642,1640976568495.6428,User1
325,212348728,523390121,1640976751603.7856,User1
326,211932754,523259010,1640976934711.9285,User1
327,212487358,523347536,1640975744509,User1
328,211932579,523259539,1640977026266,User1
329,212034683,523253250,1640977715104,User1
330,211932754,523259010,1640977173850.875,User1
331,212028102,523254432,1640977469020.625,User1
