,StartingLongitude,StartingLatitude,EndingLongitude,EndingLatitude,StartingtimeStampInMS,EndtimeStampInMS,ActivityType,Distance
92,209855119,522193509,209778105,522389533,1634580925884,1634581599448,IN_PASSENGER_VEHICLE,2494
93,209787679,522387705,209783987,522734615,1634589393593,1634590868308,IN_TRAM,5777
94,209772597,522734206,210099768,522307751,1634650173090,1634651155137,IN_SUBWAY,5477
95,210099768,522307751,210181482,522362088,1634651155137,1634652133786,WALKING,1127
96,210193258,522334923,210119518,522311012,1634658355980,1634658961198,WALKING,589
97,210104614,522307421,209775932,522733666,1634659459053,1634660313425,IN_SUBWAY,5610
98,209782748,522736671,209778868,522391070,1634662698277,1634663957744,IN_TRAM,4330
99,209777505,522392089,209781512,522735708,1634676195356,1634677284660,IN_TRAM,4156
100,209774241,522734412,210147376,522178441,1634737228948,1634738530927,IN_SUBWAY,7153
101,210147376,522178441,210083875,522214708,1634738530927,1634739133105,WALKING,631
102,210079326,522216434,210140328,522186471,1634749873000,1634750443092,WALKING,696
103,210120206,522148873,210067257,522174913,1634752634000,1634753407183,WALKING,546
104,210028577,522201803,210047782,522202570,1634760790674,1634761151000,WALKING,381
105,210047782,522202570,209795446,522741439,1634761151000,1634762849263,IN_BUS,7377
106,209770149,522734483,210127838,522192820,1634829860190,1634831381024,IN_SUBWAY,7159
107,210110350,522196395,209857253,522567344,1634837574000,1634839557905,IN_TRAM,5492
108,209840331,522563639,209775694,522734919,1634842273874,1634843266234,IN_TRAM,2673
109,209784234,522736599,210027499,522042054,1634881596013,1634883736514,WALKING,7898
110,210033849,522042406,210070133,522220846,1634889188000,1634890162401,IN_TRAM,2387
111,210073091,522216851,210121627,522203503,1634903698813,1634904062185,WALKING,405
112,210129731,522194238,209782080,522734245,1634906927797,1634908660635,IN_SUBWAY,7200
113,209784170,522735002,209749820,522712470,1634917008384,1634917769123,WALKING,787
114,209749820,522712470,210005446,522294314,1634917769123,1634918847440,IN_TRAM,5004
115,210013499,522284289,210077360,522227996,1634919162000,1634919610821,IN_TRAM,840
116,210069733,522219724,209781910,522736388,1634925081047,1634927067000,IN_PASSENGER_VEHICLE,7613
117,209783514,522736094,209800371,522743772,1634993850955,1634994069000,WALKING,154
118,209803544,522747782,209783825,522735971,1634994814105,1634995353729,WALKING,224
119,209784063,522735695,210199532,523022391,1634999928878,1635000701160,IN_PASSENGER_VEHICLE,5061
120,210199819,523022887,209629789,522747352,1635011787307,1635012524517,IN_PASSENGER_VEHICLE,5088
121,209620838,522751503,209784162,522735620,1635014699014,1635015321783,IN_PASSENGER_VEHICLE,1790
122,209784575,522734984,209739520,522730131,1635145275145,1635145513000,WALKING,347
123,209737297,522714694,210017667,522197692,1635145883052,1635147392625,IN_TRAM,6938
124,210018674,522197467,209963222,522387560,1635152681474,1635153604262,IN_TRAM,2450
125,209954512,522386075,209768100,522732791,1635156046471,1635157276601,IN_TRAM,4283
126,209797291,522741635,209800034,522748956,1635169352777,1635169414000,WALKING,95
127,209807966,522747332,209851175,522683054,1635169828588,1635170685426,WALKING,2096
128,209850589,522687863,210066309,522215217,1635171536880,1635172860288,IN_SUBWAY,6541
129,210070137,522220330,209770584,522731599,1635184164568,1635186010829,IN_SUBWAY,8023
130,209784182,522735033,210157618,522178105,1635244409064,1635245870515,IN_SUBWAY,7314
131,210157618,522178105,210070027,522223037,1635245870515,1635246968439,WALKING,831
132,210109887,522205698,210075044,522289704,1635250523804,1635252401400,WALKING,2319
133,210072277,522286716,210076702,522218597,1635252843545,1635254589623,WALKING,1717
134,210068824,522220221,209746153,522719036,1635270857074,1635272551644,IN_SUBWAY,6597
135,209746153,522719036,209784794,522735355,1635272551644,1635272925477,WALKING,396
136,209770606,522734276,209775053,522398080,1635340411000,1635341388668,IN_TRAM,4018
137,209776089,522399397,210032947,522278798,1635342242000,1635343048579,IN_TRAM,2643
138,210032947,522278798,210071773,522228754,1635343048579,1635343699015,WALKING,891
139,210069325,522218999,210085961,522211669,1635354263003,1635354376623,WALKING,153
140,210108163,522209979,210049154,522124672,1635355133400,1635356833928,WALKING,1764
141,210021789,522118939,209798141,522112885,1635364184000,1635365526944,WALKING,1648
142,209792069,522104968,209796906,522741820,1635366486000,1635368997728,IN_TRAM,10553
143,209783668,522736153,210124318,522190336,1635434946817,1635436480365,IN_SUBWAY,7133
144,210122047,522195139,210019661,522443722,1635440053804,1635441455000,IN_SUBWAY,3358
145,210022412,522443955,210199579,523022640,1635441826948,1635443319190,IN_SUBWAY,6546
146,210203123,523013989,209795987,522745717,1635449321793,1635450443112,IN_BUS,4499
147,209803534,522747630,209783974,522736035,1635450776950,1635453436880,WALKING,185
148,209782927,522734737,210083148,522080397,1635487465403,1635488734561,IN_SUBWAY,7828
149,210083148,522080397,210029600,522042355,1635488734561,1635489339746,WALKING,671
150,210021196,522042341,210060482,522218610,1635493965952,1635494974348,IN_TRAM,2310
151,210083267,522213436,209863544,522574723,1635508110000,1635510147980,WALKING,4286
152,209860937,522575077,209773960,522734260,1635511363342,1635512573913,IN_SUBWAY,4296
153,209780529,522734333,210143009,522180175,1635522117435,1635523336433,IN_SUBWAY,7171
154,210143009,522180175,210082575,522215343,1635523336433,1635523821524,WALKING,605
155,210077136,522217902,210147591,522178482,1635530724108,1635531447556,WALKING,668
156,210147591,522178482,209767775,522732074,1635531447556,1635532475564,IN_SUBWAY,6977
157,209769181,522732771,209744430,522718945,1635584956253,1635585204087,WALKING,286
158,209744821,522718365,210408845,522500787,1635585632608,1635586972000,IN_TRAM,6007
159,210408845,522500787,210505893,522517030,1635586972000,1635587492663,WALKING,896
160,210550738,522528697,231349759,531333769,1635588481102,1635597158073,IN_TRAIN,171014
161,231340159,531336600,231979358,531549094,1635597295201,1635598762463,IN_PASSENGER_VEHICLE,7136
